127.0.0.1 - - [04/Jan/2025:18:48:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:48:54 +0530] "GET /gamingsite/ HTTP/1.1" 200 6661
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:49:00 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:49:00 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:49:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:49:11 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:49:11 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 9531
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:49:11 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:18:49:11 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:07:32 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:07:32 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:07:32 +0530] "GET /gamingsite/Homepage.css HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:07:32 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:19:35 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 5990
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:19:35 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:23:41 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 9921
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:23:41 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:23:41 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:30:27 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 7882
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:30:27 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:30:27 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:30:40 +0530] "GET /gamingsite/games HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:30:40 +0530] "GET /images/game-cover.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:34 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 9531
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:34 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:34 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:49 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:55 +0530] "GET /gamingsite/games HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:55 +0530] "GET /images/game-cover.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:57 +0530] "POST /gamingsite/addtocart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:31:57 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [04/Jan/2025:19:32:11 +0530] "GET /gamingsite/gameDetails?game_id=15 HTTP/1.1" 200 8917
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:26 +0530] "GET /gamingsite/gameDetails.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:26 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:34 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:34 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8191
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:34 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:34 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:34 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:34 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:12:34 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:13:29 +0530] "GET /gamingsite/profile HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:15:49 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:19:25 +0530] "GET /gamingsite/games HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:19:25 +0530] "GET /images/game-cover.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:52:17 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:20:52:17 +0530] "GET /gamingsite/dashboard.jsp HTTP/1.1" 200 6661
