0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:13 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:13 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:20 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:20 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:20 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:20 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:20 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:20 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:33 +0530] "GET /gamingsite/games HTTP/1.1" 200 12383
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:33 +0530] "GET /gamingsite/CSS/games.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:38 +0530] "GET /gamingsite/gameDetails?game_id=15 HTTP/1.1" 200 12593
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:23:38 +0530] "GET /gamingsite/CSS/gameDetails.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:27:57 +0530] "GET /gamingsite/profile HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:28:08 +0530] "GET /gamingsite/gameDetails?game_id=17 HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:32:54 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:32:54 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:32:54 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:32:54 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:32:54 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:35:55 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:35:55 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:35:55 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:35:55 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:35:55 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:38:24 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:38:24 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:38:24 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:38:24 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:38:24 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:44:30 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:44:30 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:44:30 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:44:30 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:44:30 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:46 +0530] "GET /gamingsite/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:46 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
