127.0.0.1 - - [09/Dec/2024:21:00:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:00:12 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 4650
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:00:12 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:00:12 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:00:12 +0530] "GET /gamingsite/image1.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:00:12 +0530] "GET /gamingsite/legendarena.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:00:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:00:15 +0530] "GET /gamingsite/games HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:14:18 +0530] "GET /gamingsite/addgame.jsp HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:21:00 +0530] "POST /gamingsite/addgame HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:21:06 +0530] "GET /gamingsite/gameDetails?title=Assasian%27s+Creed+Black+Flag HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:31:23 +0530] "POST /gamingsite/addgame HTTP/1.1" 200 6246
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:32 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:37 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:37 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:38 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:38 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:38 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:38 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:38 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:39 +0530] "GET /gamingsite/games.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:58 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 4650
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:58 +0530] "GET /gamingsite/image1.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:58 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:40:58 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Dec/2024:21:41:00 +0530] "GET /gamingsite/games HTTP/1.1" 200 6246
