127.0.0.1 - - [07/Jan/2025:20:06:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:06:59 +0530] "GET /gamingsite/ HTTP/1.1" 200 5630
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:06:59 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:06:59 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:06:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:07:11 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:07:11 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:07:26 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:07:26 +0530] "GET /gamingsite/adminDashboard.jsp HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:07:28 +0530] "GET /gamingsite/editgame HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:07:50 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:07:56 +0530] "GET /gamingsite/profile HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:57:19 +0530] "GET /gamingsite/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:57:19 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:57:49 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:57:49 +0530] "GET /gamingsite/adminDashboard.jsp HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:57:52 +0530] "GET /gamingsite/addGame.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:57:57 +0530] "GET /gamingsite/editgame HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:58:02 +0530] "GET /gamingsite/UpdateGame.jsp?game_id=13 HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [07/Jan/2025:20:58:02 +0530] "GET /gamingsite/styles.css HTTP/1.1" 404 776
